PLAYER,POS,MPG,FG.,FT.,X3PM,PTS,TREB,AST,STL,BLK,TO,PUNT_FG,PUNT_FT,PUNT_3PM,PUNT_PTS,PUNT_AST,PUNT_STL,PUNT_BLK,PUNT_TO
Jayson Tatum,"SF,PF",34.6,0.45,0.81,2.8,23.6,7.1,2.9,1.4,0.9,2.2,0,0,0,0,1,0,0,1
Pascal Siakam,PF,35.5,0.46,0.81,2.2,23.6,7.5,3.6,1,0.9,2.5,0,0,0,0,0,0,0,1
Nikola Vucevic,"PF,C",32.6,0.47,0.78,1.5,19.5,11,3.7,0.9,0.9,1.4,0,0,0,0,0,0,0,0
Shai Gilgeous-Alexander ,"PG,SG,SF",35.1,0.47,0.8,1.2,19.3,6.1,3.3,1.1,0.7,1.9,0,0,0,0,0,0,0,0
Kelly Oubre Jr. ,"SF,PF",34.5,0.45,0.77,1.9,18.7,6.5,1.5,1.3,0.7,1.5,0,0,0,0,1,0,0,0
Jaylen Brown ,"SG,SF",34,0.49,0.74,2.1,20.4,6.4,2.2,1.1,0.3,2.3,0,1,0,0,1,0,1,1
Andrew Wiggins,"SG,SF",34.4,0.45,0.7,2.1,21.8,5.1,3.7,0.8,1,2.4,0,1,0,0,0,0,0,1
Julius Randle,"PF,C",32.5,0.46,0.73,1,19.5,9.7,3.1,0.8,0.3,3,0,1,0,0,0,0,1,1
Aaron Gordon,"SF,PF",33,0.43,0.69,1.2,14.4,7.6,3.7,0.9,0.6,1.6,1,1,0,0,0,0,0,0
Giannis Antetokounmpo ,"SF,PF",30.9,0.55,0.63,1.5,29.6,13.7,5.8,1.1,1,3.7,0,1,0,0,0,0,0,1
Andre Drummond,"PF,C",33,0.53,0.58,0.1,17.7,15.2,2.7,1.9,1.6,3.6,0,1,1,0,1,0,0,1
